#  Table ell_fix.tab  Wed 19:47:09 20-Apr-2016

# row     SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA
#       pixel                                                            degrees

    1    3.01      4104.       124.      658.      465. 0.6020    0.0311  -34.19
    2    3.04      4092.       125.      662.      468. 0.6020    0.0309  -34.19
    3    3.07      4079.       126.      667.      472. 0.6020    0.0308  -34.19
    4    3.10      4066.       127.      672.      475. 0.6020    0.0304  -34.19
    5    3.13      4054.       128.      678.      479. 0.6020    0.0301  -34.19
    6    3.17      4041.       129.      684.      484. 0.6020    0.0299  -34.19
    7    3.20      4028.       130.      690.      488. 0.6020    0.0299  -34.19
    8    3.23      3958.       135.      737.      521. 0.6020    0.0426  -34.19
    9    3.26      3943.       136.      742.      525. 0.6020    0.0428  -34.19
   10    3.29      3928.       136.      747.      528. 0.6020    0.0430  -34.19
   11    3.33      3913.       137.      752.      532. 0.6020    0.0432  -34.19
   12    3.36      3897.       138.      758.      536. 0.6020    0.0432  -34.19
   13    3.39      3880.       139.      763.      539. 0.6020    0.0324  -34.19
   14    3.43      3861.       140.      768.      543. 0.6020    0.0326  -34.19
   15    3.46      3844.       141.      772.      546. 0.6020    0.0331  -34.19
   16    3.50      3826.       142.      776.      548. 0.6020    0.0336  -34.19
   17    3.53      3809.       142.      778.      550. 0.6020    0.0340  -34.19
   18    3.57      3793.       142.      780.      551. 0.6020    0.0338  -34.19
   19    3.60      3778.       143.      781.      552. 0.6020    0.0335  -34.19
   20    3.64      3762.       143.      783.      554. 0.6020    0.0328  -34.19
   21    3.68      3746.       143.      785.      555. 0.6020    0.0324  -34.19
   22    3.71      3676.       144.      817.      578. 0.6020    0.0456  -34.19
   23    3.75      3659.       145.      819.      579. 0.6020    0.0447  -34.19
   24    3.79      3645.       145.      821.      580. 0.6020    0.0329  -34.19
   25    3.82      3632.       145.      822.      581. 0.6020    0.0324  -34.19
   26    3.86      3619.       145.      823.      582. 0.6020    0.0320  -34.19
   27    3.90      3605.       145.      823.      582. 0.6020    0.0318  -34.19
   28    3.94      3590.       145.      823.      582. 0.6020    0.0319  -34.19
   29    3.98      3572.       145.      823.      582. 0.6020    0.0322  -34.19
   30    4.02      3553.       146.      824.      583. 0.6020    0.0325  -34.19
   31    4.06      3534.       146.      825.      584. 0.6020    0.0329  -34.19
   32    4.10      3514.       146.      826.      584. 0.6020    0.0269  -34.19
   33    4.14      3443.       147.      855.      604. 0.6020    0.0359  -34.19
   34    4.18      3425.       147.      855.      604. 0.6020    0.0356  -34.19
   35    4.22      3408.       147.      855.      604. 0.6020    0.0353  -34.19
   36    4.27      3392.       147.      855.      604. 0.6020    0.0350  -34.19
   37    4.31      3376.       147.      855.      605. 0.6020    0.0350  -34.19
   38    4.35      3362.       147.      855.      605. 0.6020    0.0356  -34.19
   39    4.40      3347.       147.      854.      604. 0.6020    0.0289  -34.19
   40    4.44      3332.       146.      854.      604. 0.6020    0.0289  -34.19
   41    4.48      3318.       146.      854.      604. 0.6020    0.0285  -34.19
   42    4.53      3251.       146.      877.      620. 0.6020    0.0372  -34.19
   43    4.57      3233.       146.      876.      619. 0.6020    0.0370  -34.19
   44    4.62      3216.       146.      875.      619. 0.6020    0.0372  -34.19
   45    4.67      3199.       146.      876.      619. 0.6020    0.0309  -34.19
   46    4.71      3183.       146.      876.      619. 0.6020    0.0313  -34.19
   47    4.76      3169.       146.      875.      619. 0.6020    0.0309  -34.19
   48    4.81      3157.       146.      874.      618. 0.6020    0.0301  -34.19
   49    4.86      3096.       145.      893.      631. 0.6020    0.0396  -34.19
   50    4.90      3080.       144.      885.      626. 0.6020    0.0325  -34.19
   51    4.95      3063.       142.      877.      620. 0.6020    0.0325  -34.19
   52    5.00      3047.       141.      871.      616. 0.6020    0.0326  -34.19
   53    5.05      3031.       141.      867.      613. 0.6020    0.0321  -34.19
   54    5.10      2975.       140.      884.      625. 0.6020    0.0415  -34.19
   55    5.16      2963.       140.      884.      625. 0.6020    0.0329  -34.19
   56    5.21      2949.       139.      880.      622. 0.6020    0.0323  -34.19
   57    5.26      2935.       138.      873.      617. 0.6020    0.0320  -34.19
   58    5.31      2920.       137.      866.      612. 0.6020    0.0313  -34.19
   59    5.36      2907.       136.      861.      609. 0.6020    0.0299  -34.19
   60    5.42      2854.       135.      877.      620. 0.6020    0.0311  -34.19
   61    5.47      2842.       135.      877.      620. 0.6020    0.0302  -34.19
   62    5.53      2830.       135.      875.      619. 0.6020    0.0297  -34.19
   63    5.58      2815.       134.      870.      615. 0.6020    0.0296  -34.19
   64    5.64      2763.       133.      879.      622. 0.6020    0.0310  -34.19
   65    5.69      2748.       132.      874.      618. 0.6020    0.0301  -34.19
   66    5.75      2735.       131.      868.      614. 0.6020    0.0292  -34.19
   67    5.81      2723.       130.      865.      611. 0.6020    0.0285  -34.19
   68    5.87      2707.       129.      858.      607. 0.6020    0.0247  -34.19
   69    5.93      2653.       127.      863.      610. 0.6020    0.0302  -34.19
   70    5.98      2637.       126.      856.      605. 0.6020    0.0295  -34.19
   71    6.04      2623.       125.      850.      601. 0.6020    0.0285  -34.19
   72    6.11      2611.       125.      846.      598. 0.6020    0.0240  -34.19
   73    6.17      2599.       124.      841.      595. 0.6020    0.0233  -34.19
   74    6.23      2550.       122.      847.      599. 0.6020    0.0279  -34.19
   75    6.29      2534.       121.      839.      593. 0.6020    0.0270  -34.19
   76    6.35      2518.       120.      833.      589. 0.6020    0.0232  -34.19
   77    6.42      2506.       120.      830.      587. 0.6020    0.0228  -34.19
   78    6.48      2462.       119.      840.      594. 0.6020    0.0271  -34.19
   79    6.55      2448.       117.      831.      587. 0.6020    0.0264  -34.19
   80    6.61      2432.       116.      821.      580. 0.6020    0.0228  -34.19
   81    6.68      2416.       115.      812.      574. 0.6020    0.0223  -34.19
   82    6.74      2371.       113.      817.      578. 0.6020    0.0267  -34.19
   83    6.81      2356.       113.      812.      574. 0.6020    0.0263  -34.19
   84    6.88      2340.       111.      802.      567. 0.6020    0.0227  -34.19
   85    6.95      2324.       110.      794.      561. 0.6020    0.0219  -34.19
   86    7.02      2283.       108.      796.      563. 0.6020    0.0255  -34.19
   87    7.09      2270.       108.      790.      559. 0.6020    0.0224  -34.19
   88    7.16      2256.       107.      784.      555. 0.6020    0.0218  -34.19
   89    7.23      2240.       106.      776.      549. 0.6020    0.0214  -34.19
   90    7.30      2200.       104.      777.      550. 0.6020    0.0249  -34.19
   91    7.38      2187.       103.      770.      545. 0.6020    0.0218  -34.19
   92    7.45      2175.       102.      764.      540. 0.6020    0.0211  -34.19
   93    7.52      2136.       100.      763.      539. 0.6020    0.0244  -34.19
   94    7.60      2120.       98.8      753.      532. 0.6020    0.0217  -34.19
   95    7.68      2104.       97.5      742.      525. 0.6020    0.0212  -34.19
   96    7.75      2090.       96.5      735.      520. 0.6020    0.0203  -34.19
   97    7.83      2055.       94.8      734.      519. 0.6020    0.0209  -34.19
   98    7.91      2040.       93.5      724.      512. 0.6020    0.0204  -34.19
   99    7.99      2025.       92.4      715.      506. 0.6020    0.0199  -34.19
  100    8.07      1991.       90.8      715.      505. 0.6020    0.0206  -34.19
  101    8.15      1978.       89.8      707.      500. 0.6020    0.0200  -34.19
  102    8.23      1964.       88.7      698.      494. 0.6020    0.0195  -34.19
  103    8.31      1931.       86.8      695.      491. 0.6020    0.0202  -34.19
  104    8.39      1917.       85.8      686.      485. 0.6020    0.0195  -34.19
  105    8.48      1903.       84.8      679.      480. 0.6020    0.0190  -34.19
  106    8.56      1887.       83.6      668.      473. 0.6020    0.0174  -34.19
  107    8.65      1855.       81.6      663.      469. 0.6020    0.0191  -34.19
  108    8.74      1842.       80.8      656.      464. 0.6020    0.0186  -34.19
  109    8.82      1828.        80.      650.      459. 0.6020    0.0169  -34.19
  110    8.91      1797.       78.1      644.      456. 0.6020    0.0188  -34.19
  111    9.00      1784.       77.2      636.      450. 0.6020    0.0183  -34.19
  112    9.09      1771.       76.4      630.      445. 0.6020    0.0166  -34.19
  113    9.18      1742.       74.7      625.      442. 0.6020    0.0184  -34.19
  114    9.27      1728.       73.5      615.      435. 0.6020    0.0166  -34.19
  115    9.37      1715.       72.5      607.      429. 0.6020    0.0162  -34.19
  116    9.46      1687.        71.      602.      426. 0.6020    0.0179  -34.19
  117    9.55      1673.       69.8      592.      419. 0.6020    0.0163  -34.19
  118    9.65      1647.       68.1      586.      415. 0.6020    0.0177  -34.19
  119    9.75      1634.       67.4      580.      410. 0.6020    0.0162  -34.19
  120    9.84      1621.       66.4      571.      404. 0.6020    0.0158  -34.19
  121    9.94      1596.       64.7      564.      399. 0.6020    0.0172  -34.19
  122   10.04      1583.       63.7      555.      393. 0.6020    0.0156  -34.19
  123   10.14      1570.       62.7      546.      386. 0.6020    0.0152  -34.19
  124   10.24      1545.       61.1      540.      382. 0.6020    0.0156  -34.19
  125   10.35      1533.       60.1      531.      375. 0.6020    0.0152  -34.19
  126   10.45      1510.       58.7      525.      371. 0.6020    0.0164  -34.19
  127   10.55      1497.       57.6      515.      364. 0.6020    0.0151  -34.19
  128   10.66      1484.       56.7      507.      359. 0.6020    0.0147  -34.19
  129   10.77      1462.       55.5      503.      355. 0.6020    0.0149  -34.19
  130   10.87      1450.       54.4      493.      348. 0.6020    0.0145  -34.19
  131   10.98      1428.        53.      486.      344. 0.6020    0.0148  -34.19
  132   11.09      1417.       52.2      478.      338. 0.6020    0.0143  -34.19
  133   11.20      1405.       51.2      469.      332. 0.6020    0.0132  -34.19
  134   11.31      1384.       49.9      463.      327. 0.6020    0.0142  -34.19
  135   11.43      1373.       49.1      455.      322. 0.6020    0.0138  -34.19
  136   11.54      1352.       47.9      450.      318. 0.6020    0.0140  -34.19
  137   11.66      1342.       47.1      442.      313. 0.6020    0.0135  -34.19
  138   11.77      1330.       46.2      434.      307. 0.6020    0.0125  -34.19
  139   11.89      1311.       45.1      428.      303. 0.6020    0.0135  -34.19
  140   12.01      1300.       44.3      420.      297. 0.6020    0.0124  -34.19
  141   12.13      1281.       43.3      415.      293. 0.6020    0.0133  -34.19
  142   12.25      1270.       42.4      407.      288. 0.6020    0.0123  -34.19
  143   12.37      1252.       41.5      402.      284. 0.6020    0.0131  -34.19
  144   12.50      1242.       40.7      394.      279. 0.6020    0.0121  -34.19
  145   12.62      1224.       39.7      389.      275. 0.6020    0.0129  -34.19
  146   12.75      1214.        39.      382.      270. 0.6020    0.0120  -34.19
  147   12.88      1197.        38.      376.      266. 0.6020    0.0127  -34.19
  148   13.01      1187.       37.2      368.      260. 0.6020    0.0117  -34.19
  149   13.14      1170.       36.3      363.      257. 0.6020    0.0124  -34.19
  150   13.27      1161.       35.5      355.      251. 0.6020    0.0114  -34.19
  151   13.40      1145.       34.7      351.      248. 0.6020    0.0115  -34.19
  152   13.53      1135.        34.      343.      243. 0.6020    0.0112  -34.19
  153   13.67      1120.       33.2      339.      239. 0.6020    0.0113  -34.19
  154   13.81      1110.       32.5      331.      234. 0.6020    0.0110  -34.19
  155   13.94      1095.       31.6      326.      230. 0.6020    0.0111  -34.19
  156   14.08      1086.        31.      320.      226. 0.6020    0.0106  -34.19
  157   14.22      1072.       30.3      315.      222. 0.6020    0.0108  -34.19
  158   14.37      1062.       29.7      308.      218. 0.6020    0.0100  -34.19
  159   14.51      1048.        29.      304.      215. 0.6020    0.0105  -34.19
  160   14.65      1039.       28.4      298.      210. 0.6020    0.0098  -34.19
  161   14.80      1025.       27.7      293.      207. 0.6020    0.0103  -34.19
  162   14.95      1017.       27.1      287.      203. 0.6020    0.0096  -34.19
  163   15.10      1003.       26.5      283.      200. 0.6020    0.0097  -34.19
  164   15.25       995.       25.9      277.      196. 0.6020    0.0094  -34.19
  165   15.40       981.       25.4      273.      193. 0.6020    0.0096  -34.19
  166   15.56       969.       24.8      269.      190. 0.6020    0.0100  -34.19
  167   15.71       960.       24.3      264.      187. 0.6020    0.0094  -34.19
  168   15.87       948.       23.8      261.      184. 0.6020    0.0095  -34.19
  169   16.03       939.       23.4      256.      181. 0.6020    0.0093  -34.19
  170   16.19       927.       22.9      253.      179. 0.6020    0.0094  -34.19
  171   16.35       915.       22.4      249.      176. 0.6020    0.0095  -34.19
  172   16.51       907.       21.9      244.      173. 0.6020    0.0093  -34.19
  173   16.68       896.       21.5      241.      170. 0.6020    0.0093  -34.19
  174   16.85       888.        21.      235.      166. 0.6020    0.0087  -34.19
  175   17.01       877.       20.5      232.      164. 0.6020    0.0090  -34.19
  176   17.18       866.        20.      228.      161. 0.6020    0.0090  -34.19
  177   17.36       858.       19.6      223.      158. 0.6020    0.0085  -34.19
  178   17.53       847.       19.1      219.      155. 0.6020    0.0085  -34.19
  179   17.70       837.       18.7      216.      153. 0.6020    0.0089  -34.19
  180   17.88       829.       18.3      211.      149. 0.6020    0.0083  -34.19
  181   18.06       819.       17.9      208.      147. 0.6020    0.0084  -34.19
  182   18.24       809.       17.5      205.      145. 0.6020    0.0087  -34.19
  183   18.42       802.       17.1      201.      142. 0.6020    0.0082  -34.19
  184   18.61       792.       16.7      198.      140. 0.6020    0.0083  -34.19
  185   18.79       782.       16.4      195.      138. 0.6020    0.0083  -34.19
